"Key","Title","Description","CategoryGroupID"
"WP1925","Aadorp",,1
"WP2774","Aagtekerke",,1
"WP2145","Aalden",,1
"WP2571","Aalsmeer",,1
"WP1600","Aalsmeerderbrug",,1
"WP2626","Aalst",,1
"WP3387","Aalsum",,1
"WP1193","Aalten",,1
"WP2673","Ter Aar",,1
"WP2394","Ter Aard",,1
"WP2961","Aardenburg",,1
"WP1079","Aarlanderveen",,1
"WP1445","Aarle-Rixtel",,1
"WP2788","Aartswoud",,1
"WP2400","Abbega",,1
"WP3147","Abbekerk",,1
"WP1385","Abbenbroek",,1
"WP1608","Abbenes",,1
"WP1332","Abcoude",,1
"WP1364","Achlum",,1
"WP1063","Achterveld",,1
"WP2640","Achterveld",,1
"WP2131","Achthuizen",,1
"WP3493","Achtmaal",,1
"WP3527","Acquoy",,1
"WP2464","Adorp",,1
"WP2114","Aduard",,1
"WP2652","Aerdenhout",,1
"WP2976","Aerdt",,1
"WP2902","Afferden",,1
"WP1122","Afferden L",,1
"WP1407","Agelo",,1
"WP2267","Akersloot",,1
"WP2525","Akkrum",,1
"WP2484","Akmarijp",,1
"WP1283","Albergen",,1
"WP2386","Alblasserdam",,1
"WP3224","Alde Leie",,1
"WP2532","Aldeboarn",,1
"WP2441","Aldtsjerk",,1
"WP1623","Alem",,1
"WP2348","Alkmaar",,1
"WP2301","Allingawier",,1
"WP1924","Almelo",,1
"WP1334","Almen",,1
"WP1270","Almere",,1
"WP3300","Almkerk",,1
"WP1766","Alphen",,1
"WP3432","Alphen",,1
"WP1080","Alphen aan den Rijn",,1
"WP1633","Alteveer",,1
"WP3079","Alteveer",,1
"WP3160","Alteveer",,1
"WP1810","Alteveer gem Hoogeveen",,1
"WP1767","Altforst",,1
"WP1438","Ambt Delden",,1
"WP2106","Ameide",,1
"WP1147","Amen",,1
"WP1026","America",,1
"WP3337","Amerongen",,1
"WP1664","Amersfoort",,1
"WP2367","Ammerstol",,1
"WP1624","Ammerzoden",,1
"WP3547","Amstelhoek",,1
"WP1050","Amstelveen",,1
"WP2099","Amstenrade",,1
"WP3594","Amsterdam",,1
"WP3569","Amsterdam-Duivendrecht",,1
"WP3301","Andel",,1
"WP2466","Den Andel",,1
"WP1862","Andelst",,1
"WP1148","Anderen",,1
"WP1053","Andijk",,1
"WP1537","Ane",,1
"WP1538","Anerveen",,1
"WP1539","Anevelde",,1
"WP3133","Angeren",,1
"WP1299","Angerlo",,1
"WP3388","Anjum",,1
"WP2999","Ankeveen",,1
"WP1149","Anloo",,1
"WP3185","Anna Paulowna",,1
"WP1150","Annen",,1
"WP1151","Annerveenschekanaal",,1
"WP3104","Ansen",,1
"WP3161","Ansen",,1
"WP2296","Ter Apel",,1
"WP3560","Apeldoorn",,1
"WP2297","Ter Apelkanaal",,1
"WP1753","Appelscha",,1
"WP1768","Appeltern",,1
"WP3386","Appingedam",,1
"WP3140","Arcen",,1
"WP1432","Arkel",,1
"WP1008","Arnemuiden",,1
"WP1296","Arnhem",,1
"WP3630","Arriën",,1
"WP2302","Arum",,1
"WP3370","Asch",,1
"WP2353","Asperen",,1
"WP2391","Assen",,1
"WP1878","Assendelft",,1
"WP2928","Asten",,1
"WP3307","Augsbuurt",,1
"WP3173","Augustinusga",,1
"WP2824","Austerlitz",,1
"WP1183","Avenhorn",,1
"WP1128","Axel",,1
"WP2202","Azewijn",,1
"WP2621","Baaiduinen",,2
"WP2008","Baaium",,2
"WP1527","Baak",,2
"WP1333","Baambrugge",,2
"WP2009","Baard",,2
"WP1251","Baarland",,2
"WP2883","Baarle-Nassau",,2
"WP2602","Baarlo",,2
"WP2691","Baarlo",,2
"WP1092","Baarn",,2
"WP2692","Baars",,2
"WP1298","Babberich",,2
"WP1951","Babyloniënbroek",,2
